"A 행정구역(시군구)별",M202005 2020. 05,M202005 2020. 05,M202005 2020. 05,M202006 2020. 06,M202006 2020. 06,M202006 2020. 06,M202007 2020. 07,M202007 2020. 07,M202007 2020. 07
"A 행정구역(시군구)별",T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명)
"00 전국",51841371,25856030,25985341,51839408,25853937,25985471,51839852,25852796,25987056
"11 서울특별시",9724496,4735431,4989065,9720846,4732275,4988571,9715429,4728872,4986557
"26 부산광역시",3406942,1670175,1736767,3404423,1668618,1735805,3402776,1667613,1735163
"27 대구광역시",2429059,1199504,1229555,2427954,1198815,1229139,2428022,1198621,1229401
"28 인천광역시",2950063,1478307,1471756,2947217,1476813,1470404,2945565,1475837,1469728
"29 광주광역시",1455533,720300,735233,1455048,720060,734988,1454709,719860,734849
"30 대전광역시",1471915,734940,736975,1471040,734441,736599,1470225,734008,736217
"31 울산광역시",1143148,587434,555714,1142190,586939,555251,1141362,586533,554829
"36 세종특별자치시",345373,172269,173104,345341,172234,173107,346217,172660,173557
"41 경기도",13324041,6703603,6620438,13338020,6711047,6626973,13351891,6717812,6634079
"42 강원도",1538639,773923,764716,1539282,774325,764957,1540094,774913,765181
"43 충청북도",1596710,809114,787596,1597593,809657,787936,1597936,809841,788095
"44 충청남도",2118510,1080425,1038085,2119771,1081224,1038547,2120692,1081752,1038940
"45 전라북도",1810097,899894,910203,1808802,899137,909665,1808044,898719,909325
"46 전라남도",1855945,932496,923449,1854618,931898,922720,1853339,931280,922059
"47 경상북도",2648760,1333815,1314945,2646493,1332780,1313713,2644001,1331461,1312540
"48 경상남도",3351347,1687289,1664058,3349454,1686331,1663123,3347637,1685427,1662210
"50 제주특별자치도",670793,337111,333682,671316,337343,333973,671913,337587,334326
