A 행정구역(시군구)별,T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명)
41110A 수원시,1191244 ,599719 ,591525 
41280 고양시,1077347 ,527701 ,549646 
41460 용인시,1074968 ,533772 ,541196 
48120 창원시,1039595 ,526732 ,512863 
41130 성남시,938982 ,465033 ,473949 
43110 청주시,843399 ,424881 ,418518 
41590 화성시,839493 ,435377 ,404116 
41190 부천시,824675 ,409371 ,415304 
41360 남양주시,709247 ,353217 ,356030 
11710 송파구,671589 ,324307 ,347282 
44130 천안시,658280 ,335655 ,322625 
45110 전주시,655784 ,322907 ,332877 
41270 안산시,654093 ,335259 ,318834 
11500 강서구,586279 ,283343 ,302936 
27290 달서구,564639 ,278813 ,285826 
41170 안양시,556561 ,275318 ,281243 
28260 서구,544147 ,274755 ,269392 
48250 김해시,542655 ,274482 ,268173 
11680 강남구,540636 ,258624 ,282012 
28200 남동구,529413 ,263176 ,266237 
11350 노원구,527981 ,255127 ,272854 
41220 평택시,525378 ,271051 ,254327 
47110 포항시,504230 ,254899 ,249331 
28237 부평구,501128 ,248030 ,253098 
11620 관악구,499729 ,250825 ,248904 
50110 제주시,490772 ,246023 ,244749 
41135 분당구,485843 ,235605 ,250238 
41390 시흥시,484164 ,253293 ,230871 
30170 서구,481209 ,236814 ,244395 
11380 은평구,481184 ,231384 ,249800 
41281 덕양구,474118 ,234514 ,239604 
11470 양천구,457543 ,224608 ,232935 
11740 강동구,457339 ,225170 ,232169 
41480 파주시,456788 ,231825 ,224963 
41150 의정부시,455671 ,224479 ,231192 
41570 김포시,451842 ,226602 ,225240 
41463 기흥구,441190 ,217948 ,223242 
11290 성북구,441188 ,213033 ,228155 
27230 북구,439432 ,218914 ,220518 
29170 북구,433463 ,215251 ,218212 
11650 서초구,428252 ,204766 ,223486 
27260 수성구,426611 ,206700 ,219911 
47190 구미시,417098 ,214052 ,203046 
29200 광산구,407133 ,205039 ,202094 
28177 미추홀구,405498 ,204272 ,201226 
11530 구로구,405260 ,200163 ,205097 
26350 해운대구,403878 ,194573 ,209305 
44133 서북구,399061 ,204294 ,194767 
11590 동작구,394905 ,191063 ,203842 
11260 중랑구,394293 ,195227 ,199066 
41610 광주시,378723 ,193796 ,184927 
41465 수지구,376046 ,183343 ,192703 
28185 연수구,374353 ,186133 ,188220 
11560 영등포구,374097 ,185156 ,188941 
11440 마포구,374036 ,176437 ,197599 
41113 권선구,370548 ,187000 ,183548 
41117 영통구,369970 ,185690 ,184280 
26230 부산진구,357695 ,172953 ,184742 
42130 원주시,352726 ,175077 ,177649 
30200 유성구,352316 ,177867 ,174449 
48330 양산시,351651 ,176482 ,175169 
11215 광진구,349258 ,168766 ,180492 
41271 상록구,349189 ,178010 ,171179 
48170 진주시,347317 ,171907 ,175410 
36110 세종시,346217 ,172660 ,173557 
11230 동대문구,345156 ,171134 ,174022 
27140 동구,342657 ,168899 ,173758 
45111 완산구,339317 ,165347 ,173970 
11320 도봉구,328822 ,160465 ,168357 
31140 남구,322486 ,164493 ,157993 
26380 사하구,316705 ,157896 ,158809 
45113 덕진구,316467 ,157560 ,158907 
41173 동안구,315083 ,154414 ,160669 
44200 아산시,313319 ,162566 ,150753 
11410 서대문구,312264 ,149674 ,162590 
11305 강북구,311198 ,151707 ,159491 
41210 광명시,311119 ,153575 ,157544 
41273 단원구,304904 ,157249 ,147655 
41287 일산서구,303901 ,147503 ,156398 
41285 일산동구,299328 ,145684 ,153644 
28245 계양구,299210 ,149306 ,149904 
29140 서구,298898 ,146518 ,152380 
11200 성동구,296896 ,145030 ,151866 
26320 북구,287736 ,142426 ,145310 
41450 하남시,284507 ,142973 ,141534 
45140 익산시,283853 ,141360 ,142493 
42110 춘천시,281516 ,138901 ,142615 
46150 순천시,281366 ,140466 ,140900 
